Ticket Number,Date Created,Date Closed,Request Status,Status Detail,Service Category,Service Details,Business Unit,Neighbourhood,Community League,Ward,Address,Lat,Long,Location,Ticket Source,Calendar Year,Count
8013423258,January 26 2016,,Open,,2,Empty Sandbox at Community League,Roadway Operations,BRINTNELL,Horse Hill Community League (1995) Asssociation,WARD 04,4521 162 AVENUE NW,53.62064581,-113.4084008,"(53.6206458082159, -113.40840083826)",Telephone call,2016,1
8013414288,January 25 2016,,Open,,2,Sidewalks,Roadway Operations,OLIVER,Oliver Community League,WARD 06,10150 117 STREET NW,53.54222171,-113.5236421,"(53.5422217134023, -113.523642129857)",Telephone call,2016,1
186201894,January 22 2016,,Open,,1,EPCOR Power Box/Street Light,Community Standards,MALMO PLAINS,Malmo Community League,WARD 10,12111 - 51 AVENUE NW,53.48802951,-113.5397561,"(53.4880295126771, -113.539756070951)",Internet Mail,2016,1
8013395642,January 21 2016,,Open,,2,Road Snow Removal,Roadway Operations,GLENGARRY,Glengarry Community League,WARD 07,13415 91 STREET NW,53.59545838,-113.4812768,"(53.5954583833724, -113.481276771527)",Telephone call,2016,1
8013362176,January 14 2016,,Open,,2,Sanding,Roadway Operations,TAMARACK,FULTON MEADOWS COMMUNITY LEAGUE,WARD 12,4011 17 STREET NW,53.47841576,-113.3680526,"(53.4784157611718, -113.36805255584)",Internet Mail,2016,1
185416601,January 06 2016,,Open,,1,EPCOR Power Box/Street Light,Community Standards,STRATHCONA,Strathcona Centre Community League,WARD 08,9915 - 88 AVENUE NW,53.52321559,-113.4866545,"(53.5232155876625, -113.486654499617)",Telephone call,2016,1
184808717,December 18 2015,,Open,,1,Park Structure,Parks,LEE RIDGE,Leefield Community League,WARD 11,440 - MILLBOURNE ROAD EAST NW,53.470359,-113.4462683,"(53.4703589986122, -113.446268299964)",Telephone call,2015,1
184578476,December 12 2015,,Open,,1,Newspaper Box/Sign,Community Standards,GARNEAU,Queen Alexandra Community League,WARD 08,"83 STREET NW, 82 AVENUE NW, 82 AVENUE [EASTBOUND SIDE] NW",53.51810091,-113.512044,"(53.518100911492, -113.512043984724)",Telephone call,2015,1
8013192922,December 10 2015,,Open,,2,Road Snow Removal,Roadway Operations,SPRUCE AVENUE,Spruce Avenue Community League,WARD 02,11149 106 STREET NW,53.56038569,-113.5023144,"(53.5603856897752, -113.502314418821)",MobileApp,2015,1
183903281,December 03 2015,,Open,,1,EPCOR Power Box/Street Light,Community Standards,LORELEI,Lorelei Beaumaris Community League,WARD 03,16230 - 103 STREET NW,53.62408574,-113.501982,"(53.6240857372279, -113.501981969041)",Telephone call,2015,1
183562061,November 29 2015,,Open,,1,Newspaper Box/Sign,Community Standards,CALLINGWOOD NORTH,Callingwood - Lymburn Community League,WARD 05,6903 - 172 STREET NW,53.50498797,-113.6188995,"(53.5049879712508, -113.618899548202)",MobileApp,2015,1
182506107,November 16 2015,,Open,,1,Newspaper Box/Sign,Community Standards,LEGER,Oak Hills Community League,WARD 09,711 - LEGER WAY NW,53.45818536,-113.5773508,"(53.4581853598798, -113.577350768783)",Telephone call,2015,1
8012947415,October 23 2015,,Open,,2,Sidewalks,Roadway Operations,RIO TERRACE,Rio Terrace Community League,WARD 05,15108 76A AVENUE NW,53.51014735,-113.5812602,"(53.5101473535058, -113.581260160321)",Telephone call,2015,1
181357792,October 23 2015,,Open,,1,EPCOR Power Box/Street Light,Community Standards,CALLINGWOOD SOUTH,Callingwood - Lymburn Community League,WARD 05,6627 - 177 STREET NW,53.50201539,-113.6262219,"(53.5020153914843, -113.626221903083)",MobileApp,2015,1
8012926849,October 20 2015,,Open,,2,Sidewalks,Roadway Operations,BLUE QUILL,Blue Quill Community League,WARD 10,11118 23B AVENUE NW,53.45570073,-113.5184095,"(53.4557007308764, -113.518409522019)",Telephone call,2015,1
8012921135,October 19 2015,,Open,,2,Sidewalks,Roadway Operations,PLEASANTVIEW,Pleasantview Community League,WARD 10,5728 109 STREET NW,53.49531349,-113.5122338,"(53.4953134853625, -113.512233810945)",Telephone call,2015,1
8012907154,October 16 2015,,Open,Work Planned-Seasonal/Weather Dependent,2,Sidewalks,Roadway Operations,MINCHAU,Ridgewood Community League,WARD 12,4523 37B AVENUE NW,53.46900807,-113.4118436,"(53.4690080737105, -113.411843554917)",Telephone call,2015,1
8012860479,October 07 2015,,Open,,2,Sidewalks,Roadway Operations,BLUE QUILL,Blue Quill Community League,WARD 10,11130 23B AVENUE NW,53.4556532,-113.5191691,"(53.4556531982791, -113.519169142507)",Telephone call,2015,1
8012756650,September 18 2015,,Open,,2,Sidewalks,Roadway Operations,PARKALLEN,Parkallen Community Ass'n (1960),WARD 10,10934 65 AVENUE NW,53.50235669,-113.5139915,"(53.5023566935733, -113.513991544898)",Telephone call,2015,1
8012751702,September 17 2015,,Open,,2,Sidewalks,Roadway Operations,MONTROSE,Montrose Community League (1992),WARD 07,6002 120 AVENUE NW,53.57385021,-113.4344825,"(53.5738502115357, -113.434482529953)",Telephone call,2015,1
8012715807,September 11 2015,,Open,,2,Sidewalks,Roadway Operations,TWIN BROOKS,Twin Brooks Community League,WARD 09,347 TWIN BROOKS DRIVE NW,53.4447376,-113.5250963,"(53.4447375996038, -113.525096284018)",Telephone call,2015,1
8012691636,September 08 2015,,Open,,2,Sidewalks,Roadway Operations,GARIEPY,The Lessard Edmonton Community League,WARD 05,17536 55 AVENUE NW,53.49248128,-113.6262449,"(53.4924812806395, -113.626244940004)",Telephone call,2015,1
8012654959,September 01 2015,,Open,,2,Sidewalks,Roadway Operations,RIO TERRACE,Rio Terrace Community League,WARD 05,"156 STREET NW, 76 AVENUE NW",53.50789359,-113.5903635,"(53.507893586081, -113.590363470973)",Telephone call,2015,1
8012653450,September 01 2015,,Open,,2,Sidewalks,Roadway Operations,OTTEWELL,Kenilworth Community League,WARD 08,9119 72 STREET NW,53.52679682,-113.4378248,"(53.526796820406, -113.43782480398)",Telephone call,2015,1
8012642317,August 30 2015,,Open,,1,Park Structure,Parks,BRITANNIA YOUNGSTOWN,Britannia Youngstown Community League,WARD 01,10320 166 STREET NW,53.54611712,-113.6093974,"(53.546117123375, -113.609397369018)",Telephone call,2015,1
8012622007,August 26 2015,,Open,,2,Sidewalks,Roadway Operations,DUGGAN,Duggan Community League,WARD 10,10504 36 AVENUE NW,53.47103837,-113.5004937,"(53.4710383696149, -113.500493702723)",Internet Mail,2015,1
8012606352,August 24 2015,,Open,,2,Sidewalks,Roadway Operations,LENDRUM PLACE,Lendrum Community League,WARD 10,11207 57 AVENUE NW,53.49436796,-113.5206082,"(53.4943679632893, -113.520608233144)",Telephone call,2015,1
8012581754,August 19 2015,,Open,,1,Park Structure,Parks,MILL CREEK RAVINE NORTH,Strathcona Centre Community League,WARD 08,8323 95A STREET NW,53.52088396,-113.4751098,"(53.5208839609003, -113.475109806313)",Telephone call,2015,1
8012560760,August 16 2015,,Open,,2,Sidewalks,Roadway Operations,EMPIRE PARK,Empire Park S. W. Community League,WARD 10,"106 STREET NW, 48 AVENUE NW",53.48639405,-113.5043712,"(53.4863940478786, -113.504371199509)",Telephone call,2015,1
177587589,August 14 2015,,Open,,1,EPCOR Power Box/Street Light,Community Standards,ALDERGROVE,Aldergrove Community League,WARD 01,"86 AVENUE NW, 182 STREET NW",53.51945635,-113.6370609,"(53.5194563456148, -113.637060911276)",Telephone call,2015,1
8012526231,August 10 2015,,Open,,2,Sidewalks,Roadway Operations,LAGO LINDO,Lago Lindo Community League,WARD 03,18044 96 STREET NW,53.64299607,-113.4901604,"(53.6429960739835, -113.490160401599)",Telephone call,2015,1
8012508297,August 07 2015,,Open,Assessment in Progress,1,Vandalism - Spray Park,Parks,GLENORA,Glenora Community League,WARD 06,10410 136 STREET NW,53.54698371,-113.5568426,"(53.5469837065133, -113.556842550237)",Telephone call,2015,1
8012497964,August 05 2015,,Open,,1,Ashtray,Capitial City Clean Up - Community Services,DOWNTOWN,Downtown Edmonton Community League,WARD 06,10080 JASPER AVENUE NW,53.54114307,-113.4931556,"(53.5411430697915, -113.493155644563)",Telephone call,2015,1
8012466600,July 31 2015,,Open,,2,Sidewalks,Roadway Operations,ASPEN GARDENS,Aspen Gardens Community League,WARD 10,4124 120 STREET NW,53.47940034,-113.5442919,"(53.4794003403389, -113.544291904047)",Telephone call,2015,1
8012439467,July 27 2015,,Open,Assessment in Progress,1,Park Structure,Parks,SUMMERLEA,Summerlea Community League,WARD 01,"95 AVENUE NW, 174 STREET NW",53.53113225,-113.6208613,"(53.5311322489046, -113.620861294394)",MobileApp,2015,1
8012420349,July 23 2015,,Open,,1,Vandalism - Play Structure,Parks,FRASER,Fraser Community League,WARD 04,1859 151 AVENUE NW,53.6114179,-113.3692448,"(53.6114179018509, -113.369244761287)",Telephone call,2015,1
8012413329,July 22 2015,,Open,,2,Sidewalks,Roadway Operations,TWIN BROOKS,Twin Brooks Community League,WARD 09,812 113B STREET NW,53.43771551,-113.5263785,"(53.4377155092941, -113.526378497595)",Telephone call,2015,1
8012399708,July 20 2015,,Open,,2,Sidewalks,Roadway Operations,ORMSBY PLACE,Willowby Community League,WARD 05,18315 67 AVENUE NW,53.50127059,-113.6381104,"(53.5012705926214, -113.638110437329)",Telephone call,2015,1
175974121,July 16 2015,,Open,,1,Shaw/Telus Box,Community Standards,WILD ROSE,The Meadows Community League Association,WARD 12,2804 - 37C AVENUE NW,53.47500472,-113.3818612,"(53.4750047200035, -113.381861196299)",Telephone call,2015,1
8012370326,July 15 2015,,Open,,1,Park Structure,Parks,MILL CREEK RAVINE NORTH,Strathcona Centre Community League,WARD 08,8323 95A STREET NW,53.52088396,-113.4751098,"(53.5208839609003, -113.475109806313)",Telephone call,2015,1
8012333329,July 09 2015,,Open,,1,Road,Roadway Operations,ROYAL GARDENS,Duggan Community League,WARD 10,"43 AVENUE NW, 111 STREET NW",53.47806797,-113.5161742,"(53.478067971566, -113.516174240623)",MobileApp,2015,1
